t,x,Date,weekday
18876,82,06/09/2021,Monday
18877,56,07/09/2021,Tuesday
18878,60,08/09/2021,Wednesday
18879,61,09/09/2021,Thursday
18880,44,10/09/2021,Friday
18881,27,11/09/2021,Saturday
18882,25,12/09/2021,Sunday
18883,57,13/09/2021,Monday
18884,44,14/09/2021,Tuesday
18885,43,15/09/2021,Wednesday
18886,0,16/09/2021,Thursday
18887,70,17/09/2021,Friday
18888,18,18/09/2021,Saturday
18889,18,19/09/2021,Sunday
18890,59,20/09/2021,Monday
18891,32,21/09/2021,Tuesday
18892,38,22/09/2021,Wednesday
18893,38,23/09/2021,Thursday
18894,43,24/09/2021,Friday
18895,41,25/09/2021,Saturday
18896,23,26/09/2021,Sunday
18897,55,27/09/2021,Monday
18898,48,28/09/2021,Tuesday
18899,43,29/09/2021,Wednesday
18900,51,30/09/2021,Thursday
18901,43,01/10/2021,Friday
18902,24,02/10/2021,Saturday
18903,11,03/10/2021,Sunday
18904,84,04/10/2021,Monday
18905,42,05/10/2021,Tuesday
18906,46,06/10/2021,Wednesday
